Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;Xiaomi Redmi Pad 2 4G 4/128GB Gray 90Hz;Smartfony i smartwatche/Tablety;749.00;1;4;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-gray-90hz/1338103_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-gray-90hz/1338103_2.jpg
1;Huawei MatePad 11,5 2025 PaperMatte 256GB Violet +Keyboard;Smartfony i smartwatche/Tablety;1499.00;1;3;1;1;http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-violet-keyboard/1355844_1.jpg,http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-violet-keyboard/1355844_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/256GB 5G Szary";Smartfony i smartwatche/Tablety;5899.00;1;9;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
1;Apple iPad Mini 7gen 128GB Wi-Fi Gwiezdna Szarość;Smartfony i smartwatche/Tablety;2399.00;1;9;1;1;http://localhost/import-images/apple-ipad-mini-7gen-128gb-wi-fi-gwiezdna-szarość/1288367_1.jpg,http://localhost/import-images/apple-ipad-mini-7gen-128gb-wi-fi-gwiezdna-szarość/1288367_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 16GB/1TB 5G Szary";Smartfony i smartwatche/Tablety;7699.00;1;6;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/256GB WiFi Szary";Smartfony i smartwatche/Tablety;5299.00;1;8;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/512GB 5G Szary";Smartfony i smartwatche/Tablety;6499.00;1;2;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
1;Huawei MatePad 11,5 2025 PaperMatte 256GB Grey +Keyboard+M-Pencil;Smartfony i smartwatche/Tablety;1699.00;1;4;1;1;http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-grey-keyboardm-pencil/1355839_1.jpg,http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-grey-keyboardm-pencil/1355839_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/512GB WiFi Szary";Smartfony i smartwatche/Tablety;4099.00;1;10;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
1;"Samsung Galaxy Tab S11 11"" 12/128GB 5G Szary";Smartfony i smartwatche/Tablety;3999.00;1;8;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-11-12-512gb-wifi-szary/1351867_2.jpg
